#{"t_start": 1743512949.6936781, "env_id": "None"}
r,l,t
10.0,1,2.152552
10.0,1,2.15726
10.0,1,2.157493
10.0,1,2.157659
10.0,1,2.15781
10.0,1,2.160736
10.0,1,2.16107
-3.0,1,2.161251
10.0,1,2.161406
5.0,1,2.166201
10.0,1,2.166523
10.0,1,2.167863
-3.0,1,2.168197
5.0,1,2.171768
10.0,1,2.172091
5.0,1,2.172345
10.0,1,2.172583
10.0,1,2.176295
-3.0,1,2.176529
10.0,1,2.176693
10.0,1,2.176844
10.0,1,2.182753
-3.0,1,2.183085
-3.0,1,2.183327
-3.0,1,2.183564
-3.0,1,2.188627
-3.0,1,2.188864
10.0,1,2.189026
-3.0,1,2.189176
10.0,1,2.192334
-3.0,1,2.192651
10.0,1,2.193923
5.0,1,2.194143
-3.0,1,2.202122
-3.0,1,2.202452
-3.0,1,2.202685
10.0,1,2.202919
10.0,1,2.206483
10.0,1,2.206709
5.0,1,2.20687
10.0,1,2.20702
10.0,1,2.210522
-3.0,1,2.210785
5.0,1,2.210974
10.0,1,2.211148
-3.0,1,2.216456
10.0,1,2.216776
10.0,1,2.216948
5.0,1,2.217102
10.0,1,2.221504
-3.0,1,2.221811
-3.0,1,2.222914
10.0,1,2.223154
-3.0,1,2.226338
5.0,1,2.226657
-3.0,1,2.226903
-3.0,1,2.227137
5.0,1,2.232942
-3.0,1,2.233274
10.0,1,2.233525
10.0,1,2.233755
10.0,1,2.238838
10.0,1,2.23916
-3.0,1,2.23944
-3.0,1,2.239696
5.0,1,2.243154
-3.0,1,2.243383
10.0,1,2.243543
-3.0,1,2.243695
10.0,1,2.24858
-3.0,1,2.248845
10.0,1,2.250039
-3.0,1,2.250327
-3.0,1,2.253373
10.0,1,2.253912
-3.0,1,2.254229
10.0,1,2.254472
10.0,1,2.257939
-3.0,1,2.2582
-3.0,1,2.258389
-3.0,1,2.258564
10.0,1,2.264001
10.0,1,2.264794
-3.0,1,2.265351
5.0,1,2.265609
10.0,1,2.268327
-3.0,1,2.268553
-3.0,1,2.26878
-3.0,1,2.269051
10.0,1,2.273231
5.0,1,2.273508
10.0,1,2.274686
-3.0,1,2.274887
-3.0,1,2.277033
-3.0,1,2.277328
5.0,1,2.277576
-3.0,1,2.277806
10.0,1,2.283014
10.0,1,2.283247
5.0,1,2.283411
10.0,1,2.283847
-3.0,1,2.288937
-3.0,1,2.289211
10.0,1,2.289401
-3.0,1,2.289583
-3.0,1,2.293116
10.0,1,2.293379
5.0,1,2.29357
5.0,1,2.29377
-3.0,1,2.298863
10.0,1,2.299106
-3.0,1,2.300087
-3.0,1,2.30033
-3.0,1,2.303547
10.0,1,2.304406
-3.0,1,2.304635
-3.0,1,2.304836
10.0,1,2.308055
