#{"t_start": 1743512949.6936781, "env_id": "None"}
r,l,t
10.0,1,62.775809
-3.0,1,62.7762
10.0,1,62.776926
10.0,1,62.777634
10.0,1,62.7866
10.0,1,62.787155
10.0,1,62.787623
10.0,1,62.788081
10.0,1,62.790853
10.0,1,62.791378
10.0,1,62.792337
10.0,1,62.793139
10.0,1,62.801038
10.0,1,62.801845
10.0,1,62.803409
10.0,1,62.803915
10.0,1,62.806833
10.0,1,62.807347
10.0,1,62.807805
10.0,1,62.808261
10.0,1,62.814494
10.0,1,62.816313
10.0,1,62.8169
10.0,1,62.817368
10.0,1,62.821349
10.0,1,62.821894
10.0,1,62.822541
10.0,1,62.823156
5.0,1,62.826455
10.0,1,62.827138
10.0,1,62.8277
10.0,1,62.82868
10.0,1,62.836374
10.0,1,62.837168
10.0,1,62.839366
10.0,1,62.840131
10.0,1,62.843811
10.0,1,62.846898
10.0,1,62.848265
10.0,1,62.848891
10.0,1,62.852691
10.0,1,62.853223
10.0,1,62.853687
10.0,1,62.854143
10.0,1,62.85777
10.0,1,62.8583
-3.0,1,62.858525
10.0,1,62.858973
10.0,1,62.865217
10.0,1,62.866461
10.0,1,62.867015
10.0,1,62.867481
10.0,1,62.870792
10.0,1,62.871409
10.0,1,62.873039
10.0,1,62.873553
10.0,1,62.876369
10.0,1,62.876897
10.0,1,62.877359
10.0,1,62.877811
10.0,1,62.884809
10.0,1,62.885817
10.0,1,62.886557
10.0,1,62.887245
10.0,1,62.892166
10.0,1,62.892913
10.0,1,62.893597
10.0,1,62.894278
10.0,1,62.902323
10.0,1,62.902969
10.0,1,62.903448
10.0,1,62.903904
10.0,1,62.90658
10.0,1,62.907094
10.0,1,62.908491
10.0,1,62.908982
10.0,1,62.911752
10.0,1,62.915958
10.0,1,62.91684
10.0,1,62.917381
10.0,1,62.921647
10.0,1,62.922406
10.0,1,62.923038
10.0,1,62.923512
10.0,1,62.928362
10.0,1,62.932785
10.0,1,62.933416
10.0,1,62.933985
10.0,1,62.937275
10.0,1,62.937901
10.0,1,62.938996
10.0,1,62.939774
10.0,1,62.943542
10.0,1,62.944593
10.0,1,62.949487
10.0,1,62.950229
10.0,1,62.953
10.0,1,62.954065
10.0,1,62.95458
10.0,1,62.955186
10.0,1,62.957933
10.0,1,62.958445
10.0,1,62.958905
10.0,1,62.959615
10.0,1,62.968055
10.0,1,62.968866
10.0,1,62.969562
10.0,1,62.970236
10.0,1,62.987092
10.0,1,62.987897
10.0,1,62.988613
10.0,1,62.989299
10.0,1,62.992845
10.0,1,62.993587
10.0,1,62.998618
10.0,1,62.999454
10.0,1,63.00362
10.0,1,63.004146
10.0,1,63.004604
10.0,1,63.005058
10.0,1,63.008427
10.0,1,63.008958
10.0,1,63.009422
10.0,1,63.009878
10.0,1,63.017343
10.0,1,63.018065
10.0,1,63.018756
10.0,1,63.019038
10.0,1,63.021792
10.0,1,63.022971
10.0,1,63.023758
10.0,1,63.024482
10.0,1,63.027702
10.0,1,63.031355
10.0,1,63.034253
10.0,1,63.034865
10.0,1,63.038083
10.0,1,63.038637
10.0,1,63.039399
10.0,1,63.040777
10.0,1,63.045582
10.0,1,63.048816
10.0,1,63.050228
10.0,1,63.050994
10.0,1,63.055046
10.0,1,63.055731
10.0,1,63.056226
10.0,1,63.056689
10.0,1,63.059852
10.0,1,63.060532
10.0,1,63.061012
10.0,1,63.061895
10.0,1,63.0691
10.0,1,63.069903
10.0,1,63.071525
10.0,1,63.072113
10.0,1,63.075335
10.0,1,63.075947
10.0,1,63.07649
10.0,1,63.077066
10.0,1,63.086206
10.0,1,63.087012
10.0,1,63.087729
10.0,1,63.088436
10.0,1,63.093209
10.0,1,63.093828
10.0,1,63.09438
10.0,1,63.096
10.0,1,63.102551
10.0,1,63.103086
10.0,1,63.103549
10.0,1,63.104113
10.0,1,63.107166
10.0,1,63.10772
10.0,1,63.109264
10.0,1,63.109754
10.0,1,63.116638
10.0,1,63.117462
10.0,1,63.11811
10.0,1,63.118695
10.0,1,63.122314
10.0,1,63.123004
10.0,1,63.123608
10.0,1,63.124164
10.0,1,63.129077
10.0,1,63.133018
10.0,1,63.133991
10.0,1,63.134712
10.0,1,63.139545
10.0,1,63.140345
10.0,1,63.14105
10.0,1,63.141755
10.0,1,63.147986
10.0,1,63.149327
10.0,1,63.151095
10.0,1,63.151714
10.0,1,63.154481
10.0,1,63.155076
10.0,1,63.156268
10.0,1,63.156997
10.0,1,63.159658
10.0,1,63.160181
10.0,1,63.160643
10.0,1,63.1611
10.0,1,63.16967
10.0,1,63.170483
10.0,1,63.171213
10.0,1,63.172601
10.0,1,63.1756
10.0,1,63.176283
10.0,1,63.177007
10.0,1,63.177734
10.0,1,63.186168
10.0,1,63.186966
10.0,1,63.188895
10.0,1,63.18967
10.0,1,63.194182
10.0,1,63.197492
10.0,1,63.199136
10.0,1,63.200307
10.0,1,63.204659
10.0,1,63.205188
10.0,1,63.205809
10.0,1,63.206292
10.0,1,63.20985
10.0,1,63.210443
10.0,1,63.210908
10.0,1,63.211744
10.0,1,63.218186
10.0,1,63.218823
10.0,1,63.219375
10.0,1,63.219914
10.0,1,63.223555
10.0,1,63.22408
10.0,1,63.225835
10.0,1,63.226451
10.0,1,63.233514
10.0,1,63.234316
10.0,1,63.235046
10.0,1,63.235769
10.0,1,63.240472
10.0,1,63.24128
10.0,1,63.242011
10.0,1,63.24272
10.0,1,63.251882
10.0,1,63.252452
10.0,1,63.252918
10.0,1,63.253371
10.0,1,63.256654
10.0,1,63.257181
10.0,1,63.257643
10.0,1,63.258098
10.0,1,63.260716
10.0,1,63.261403
10.0,1,63.266021
10.0,1,63.266616
10.0,1,63.269452
10.0,1,63.269988
10.0,1,63.271107
10.0,1,63.271975
10.0,1,63.275389
10.0,1,63.27602
10.0,1,63.276661
10.0,1,63.277635
10.0,1,63.286668
10.0,1,63.287212
10.0,1,63.287682
10.0,1,63.287904
10.0,1,63.291474
10.0,1,63.292001
10.0,1,63.292479
10.0,1,63.292948
10.0,1,63.300367
10.0,1,63.301213
10.0,1,63.302977
10.0,1,63.303474
10.0,1,63.306316
10.0,1,63.306837
10.0,1,63.307303
10.0,1,63.307762
10.0,1,63.311615
10.0,1,63.312376
10.0,1,63.315877
10.0,1,63.316715
10.0,1,63.322264
10.0,1,63.323531
10.0,1,63.324379
10.0,1,63.325133
10.0,1,63.333646
10.0,1,63.334508
10.0,1,63.335133
10.0,1,63.335627
10.0,1,63.338997
10.0,1,63.33984
10.0,1,63.341782
10.0,1,63.342465
10.0,1,63.350295
10.0,1,63.350858
10.0,1,63.35133
10.0,1,63.351787
10.0,1,63.354843
10.0,1,63.355461
10.0,1,63.355981
10.0,1,63.356449
10.0,1,63.359978
10.0,1,63.360492
10.0,1,63.360954
10.0,1,63.361849
10.0,1,63.368239
10.0,1,63.368794
10.0,1,63.369275
10.0,1,63.369751
10.0,1,63.373958
10.0,1,63.374788
10.0,1,63.376702
10.0,1,63.377314
10.0,1,63.386026
10.0,1,63.386868
10.0,1,63.387698
10.0,1,63.388471
10.0,1,63.392338
10.0,1,63.39288
10.0,1,63.393449
10.0,1,63.393971
10.0,1,63.402703
10.0,1,63.40329
10.0,1,63.403755
10.0,1,63.40421
10.0,1,63.407416
10.0,1,63.407947
10.0,1,63.408405
10.0,1,63.408859
10.0,1,63.411991
10.0,1,63.414346
10.0,1,63.417035
10.0,1,63.417555
10.0,1,63.420567
10.0,1,63.421643
10.0,1,63.422518
10.0,1,63.423222
10.0,1,63.426495
10.0,1,63.427519
10.0,1,63.428526
10.0,1,63.432269
10.0,1,63.437674
10.0,1,63.438445
10.0,1,63.439592
10.0,1,63.440293
10.0,1,63.444244
10.0,1,63.445907
10.0,1,63.448914
10.0,1,63.450232
10.0,1,63.453423
10.0,1,63.453937
10.0,1,63.455547
10.0,1,63.456067
10.0,1,63.458717
10.0,1,63.459224
10.0,1,63.459685
10.0,1,63.460137
10.0,1,63.46679
10.0,1,63.467329
10.0,1,63.467852
10.0,1,63.468342
10.0,1,63.473054
10.0,1,63.473664
10.0,1,63.474314
10.0,1,63.475545
10.0,1,63.483764
10.0,1,63.484681
10.0,1,63.485275
10.0,1,63.485826
10.0,1,63.489107
10.0,1,63.48972
10.0,1,63.491335
10.0,1,63.491868
10.0,1,63.497537
10.0,1,63.49865
10.0,1,63.499634
10.0,1,63.500876
10.0,1,63.505046
10.0,1,63.505716
10.0,1,63.506204
10.0,1,63.506666
10.0,1,63.510225
10.0,1,63.51074
10.0,1,63.511512
10.0,1,63.512395
-3.0,1,63.518444
10.0,1,63.519242
10.0,1,63.519958
10.0,1,63.520924
10.0,1,63.524344
10.0,1,63.524932
10.0,1,63.526739
10.0,1,63.527344
10.0,1,63.535327
10.0,1,63.535881
10.0,1,63.536357
10.0,1,63.536833
10.0,1,63.541349
10.0,1,63.542126
10.0,1,63.54284
10.0,1,63.543574
10.0,1,63.552842
10.0,1,63.553379
10.0,1,63.553841
10.0,1,63.554297
10.0,1,63.557427
10.0,1,63.55795
10.0,1,63.558408
10.0,1,63.558861
10.0,1,63.561819
10.0,1,63.564575
10.0,1,63.566991
10.0,1,63.56751
10.0,1,63.57095
10.0,1,63.571565
10.0,1,63.572711
10.0,1,63.573294
10.0,1,63.577119
10.0,1,63.578685
10.0,1,63.582356
10.0,1,63.583164
10.0,1,63.587509
10.0,1,63.588034
10.0,1,63.588498
10.0,1,63.589161
10.0,1,63.593226
10.0,1,63.593769
10.0,1,63.594346
10.0,1,63.595494
10.0,1,63.602278
10.0,1,63.602818
10.0,1,63.604272
10.0,1,63.604767
10.0,1,63.607642
10.0,1,63.608155
10.0,1,63.608616
10.0,1,63.609069
10.0,1,63.616176
10.0,1,63.617113
10.0,1,63.617385
10.0,1,63.617872
10.0,1,63.622072
10.0,1,63.622665
10.0,1,63.62314
10.0,1,63.623601
10.0,1,63.627132
10.0,1,63.628159
10.0,1,63.632091
10.0,1,63.633353
10.0,1,63.636483
10.0,1,63.637065
10.0,1,63.638858
10.0,1,63.63959
10.0,1,63.6431
10.0,1,63.643809
10.0,1,63.644371
10.0,1,63.647746
10.0,1,63.652637
10.0,1,63.653166
10.0,1,63.653626
10.0,1,63.65408
10.0,1,63.65776
10.0,1,63.658279
10.0,1,63.658739
10.0,1,63.659195
10.0,1,63.666059
10.0,1,63.666696
10.0,1,63.667239
10.0,1,63.668077
10.0,1,63.672066
10.0,1,63.672823
10.0,1,63.674718
10.0,1,63.675423
10.0,1,63.682614
10.0,1,63.683637
10.0,1,63.684155
10.0,1,63.684631
10.0,1,63.688796
10.0,1,63.689519
10.0,1,63.690188
10.0,1,63.690814
10.0,1,63.69617
10.0,1,63.70011
10.0,1,63.70071
10.0,1,63.701185
10.0,1,63.704187
10.0,1,63.7048
10.0,1,63.705284
10.0,1,63.705819
10.0,1,63.708584
10.0,1,63.709104
10.0,1,63.71083
10.0,1,63.711761
10.0,1,63.718773
10.0,1,63.719523
10.0,1,63.720189
10.0,1,63.720711
10.0,1,63.724744
10.0,1,63.725523
10.0,1,63.726294
10.0,1,63.726931
10.0,1,63.735948
10.0,1,63.736497
10.0,1,63.736984
10.0,1,63.737456
10.0,1,63.740913
10.0,1,63.741442
10.0,1,63.741919
10.0,1,63.742385
10.0,1,63.748113
10.0,1,63.749767
10.0,1,63.751679
10.0,1,63.752303
10.0,1,63.755012
10.0,1,63.755682
10.0,1,63.756196
10.0,1,63.756659
10.0,1,63.759952
10.0,1,63.760474
10.0,1,63.760939
10.0,1,63.761759
10.0,1,63.772061
10.0,1,63.772756
10.0,1,63.77336
10.0,1,63.774258
10.0,1,63.777499
10.0,1,63.778487
10.0,1,63.782256
10.0,1,63.783177
10.0,1,63.786502
10.0,1,63.787077
10.0,1,63.788887
10.0,1,63.78956
10.0,1,63.793699
10.0,1,63.794772
10.0,1,63.938131
10.0,1,63.938734
10.0,1,63.942495
10.0,1,63.943122
10.0,1,63.943746
10.0,1,63.944317
10.0,1,63.949432
10.0,1,63.950125
10.0,1,63.951506
10.0,1,63.952334
10.0,1,63.956604
10.0,1,63.957458
10.0,1,63.958012
10.0,1,63.958486
10.0,1,63.961091
10.0,1,63.961594
10.0,1,63.966402
10.0,1,63.966941
10.0,1,63.970801
10.0,1,63.971349
10.0,1,63.971846
10.0,1,63.972428
10.0,1,63.976291
10.0,1,63.976611
10.0,1,63.977129
10.0,1,63.978115
10.0,1,63.98704
10.0,1,63.987833
10.0,1,63.988546
10.0,1,63.989094
10.0,1,63.992496
10.0,1,63.993152
10.0,1,63.993713
10.0,1,63.994254
10.0,1,64.002511
10.0,1,64.003051
10.0,1,64.004521
10.0,1,64.005071
10.0,1,64.007803
10.0,1,64.008315
10.0,1,64.008785
10.0,1,64.009634
10.0,1,64.016822
10.0,1,64.017373
10.0,1,64.017971
10.0,1,64.018591
10.0,1,64.023275
10.0,1,64.023794
10.0,1,64.024303
10.0,1,64.025375
10.0,1,64.032408
10.0,1,64.033297
10.0,1,64.033863
10.0,1,64.034361
10.0,1,64.037232
10.0,1,64.037883
10.0,1,64.039638
10.0,1,64.040304
10.0,1,64.043286
10.0,1,64.043828
10.0,1,64.047784
10.0,1,64.04888
10.0,1,64.052801
10.0,1,64.05332
10.0,1,64.053782
10.0,1,64.054237
10.0,1,64.057865
10.0,1,64.058382
10.0,1,64.058846
10.0,1,64.059303
10.0,1,64.065967
10.0,1,64.066585
10.0,1,64.067057
10.0,1,64.06751
10.0,1,64.071131
10.0,1,64.07172
10.0,1,64.073558
10.0,1,64.074154
10.0,1,64.07731
10.0,1,64.078579
10.0,1,64.082442
10.0,1,64.083105
10.0,1,64.086905
10.0,1,64.087685
10.0,1,64.08839
10.0,1,64.08897
10.0,1,64.095668
10.0,1,64.096798
10.0,1,64.099493
10.0,1,64.100779
10.0,1,64.103898
10.0,1,64.104759
10.0,1,64.105352
10.0,1,64.105894
10.0,1,64.108523
10.0,1,64.10903
10.0,1,64.11046
10.0,1,64.110952
10.0,1,64.118332
10.0,1,64.118881
10.0,1,64.119349
10.0,1,64.119807
10.0,1,64.123331
10.0,1,64.123858
10.0,1,64.124325
10.0,1,64.124788
10.0,1,64.132648
10.0,1,64.133497
10.0,1,64.134237
5.0,1,64.134554
10.0,1,64.137445
10.0,1,64.138219
10.0,1,64.139073
10.0,1,64.139688
10.0,1,64.143006
10.0,1,64.143642
10.0,1,64.148367
10.0,1,64.149463
10.0,1,64.15338
10.0,1,64.153899
10.0,1,64.154361
10.0,1,64.154816
10.0,1,64.158071
10.0,1,64.158595
10.0,1,64.159058
10.0,1,64.159519
10.0,1,64.168037
10.0,1,64.16876
10.0,1,64.1694
10.0,1,64.170196
10.0,1,64.174694
10.0,1,64.175248
10.0,1,64.175718
10.0,1,64.176182
10.0,1,64.183103
10.0,1,64.183877
10.0,1,64.185617
10.0,1,64.186198
10.0,1,64.189677
10.0,1,64.190972
10.0,1,64.191766
10.0,1,64.192394
10.0,1,64.201172
10.0,1,64.20201
10.0,1,64.202732
10.0,1,64.203236
10.0,1,64.207098
10.0,1,64.207622
10.0,1,64.208083
10.0,1,64.208537
10.0,1,64.215112
10.0,1,64.216131
10.0,1,64.21681
10.0,1,64.217565
10.0,1,64.220427
10.0,1,64.220947
10.0,1,64.222638
10.0,1,64.223232
10.0,1,64.226511
10.0,1,64.227075
10.0,1,64.227549
-3.0,1,64.230251
10.0,1,64.235625
10.0,1,64.236332
10.0,1,64.236895
10.0,1,64.237443
10.0,1,64.241772
10.0,1,64.242412
10.0,1,64.243089
10.0,1,64.244156
10.0,1,64.251856
10.0,1,64.252483
10.0,1,64.25297
10.0,1,64.253434
10.0,1,64.256289
10.0,1,64.256806
10.0,1,64.258268
10.0,1,64.258762
10.0,1,64.261734
10.0,1,64.265164
10.0,1,64.265941
10.0,1,64.266489
10.0,1,64.269948
10.0,1,64.270897
10.0,1,64.271692
10.0,1,64.272343
10.0,1,64.276475
10.0,1,64.27709
10.0,1,64.277643
10.0,1,64.278577
10.0,1,64.284967
10.0,1,64.285642
10.0,1,64.28623
10.0,1,64.286786
10.0,1,64.290499
10.0,1,64.291126
10.0,1,64.292846
10.0,1,64.293534
10.0,1,64.301928
10.0,1,64.302489
10.0,1,64.302957
10.0,1,64.30341
10.0,1,64.306509
10.0,1,64.307131
10.0,1,64.307629
10.0,1,64.308094
10.0,1,64.314589
10.0,1,64.316088
10.0,1,64.316673
10.0,1,64.317268
10.0,1,64.320034
10.0,1,64.320548
10.0,1,64.321007
10.0,1,64.322044
10.0,1,64.325551
10.0,1,64.326264
10.0,1,64.328398
10.0,1,64.331904
10.0,1,64.336778
10.0,1,64.337527
10.0,1,64.3382
10.0,1,64.338822
10.0,1,64.342522
10.0,1,64.343046
10.0,1,64.34351
10.0,1,64.344
10.0,1,64.352567
10.0,1,64.353106
10.0,1,64.353569
10.0,1,64.354021
10.0,1,64.35728
10.0,1,64.357805
10.0,1,64.358266
10.0,1,64.358724
10.0,1,64.361673
10.0,1,64.364601
10.0,1,64.366825
10.0,1,64.367337
10.0,1,64.370448
10.0,1,64.371057
10.0,1,64.371682
10.0,1,64.373094
10.0,1,64.376368
10.0,1,64.37698
10.0,1,64.377528
10.0,1,64.381128
10.0,1,64.38624
10.0,1,64.386853
10.0,1,64.387404
10.0,1,64.388469
10.0,1,64.392012
10.0,1,64.392536
10.0,1,64.393004
10.0,1,64.393461
10.0,1,64.401286
10.0,1,64.401837
10.0,1,64.403355
10.0,1,64.403857
10.0,1,64.406706
10.0,1,64.407225
10.0,1,64.407688
10.0,1,64.408147
10.0,1,64.412168
10.0,1,64.416264
10.0,1,64.416921
10.0,1,64.417393
10.0,1,64.421466
10.0,1,64.422228
10.0,1,64.422956
10.0,1,64.424195
10.0,1,64.427474
10.0,1,64.4285
10.0,1,64.433372
10.0,1,64.43408
10.0,1,64.437108
10.0,1,64.437621
10.0,1,64.439404
10.0,1,64.440092
10.0,1,64.443522
10.0,1,64.444912
10.0,1,64.449019
10.0,1,64.449862
10.0,1,64.453693
10.0,1,64.454298
10.0,1,64.454768
10.0,1,64.455267
10.0,1,64.458959
10.0,1,64.459473
10.0,1,64.459938
10.0,1,64.460388
10.0,1,64.467753
10.0,1,64.468564
10.0,1,64.469221
10.0,1,64.469895
10.0,1,64.473714
10.0,1,64.47439
10.0,1,64.47596
10.0,1,64.476472
10.0,1,64.484546
10.0,1,64.485098
10.0,1,64.485565
10.0,1,64.486033
10.0,1,64.489577
10.0,1,64.490271
10.0,1,64.490936
10.0,1,64.491648
10.0,1,64.503144
10.0,1,64.503725
10.0,1,64.504192
10.0,1,64.504651
10.0,1,64.507802
10.0,1,64.508326
10.0,1,64.508785
10.0,1,64.50924
10.0,1,64.515133
10.0,1,64.516594
10.0,1,64.518356
10.0,1,64.519085
10.0,1,64.522744
10.0,1,64.523371
10.0,1,64.524551
10.0,1,64.525279
10.0,1,64.532384
10.0,1,64.532992
10.0,1,64.533526
10.0,1,64.534003
10.0,1,64.538854
10.0,1,64.539545
10.0,1,64.540738
10.0,1,64.541578
10.0,1,64.547514
10.0,1,64.548871
10.0,1,64.549759
10.0,1,64.550358
10.0,1,64.553412
10.0,1,64.553926
10.0,1,64.555409
10.0,1,64.555946
10.0,1,64.558562
10.0,1,64.559066
10.0,1,64.559525
10.0,1,64.559978
10.0,1,64.566626
10.0,1,64.567173
10.0,1,64.567634
10.0,1,64.568105
10.0,1,64.572452
10.0,1,64.573247
10.0,1,64.573908
10.0,1,64.574513
10.0,1,64.581858
10.0,1,64.582502
10.0,1,64.583344
10.0,1,64.584042
10.0,1,64.587422
10.0,1,64.587959
10.0,1,64.589802
10.0,1,64.590556
10.0,1,64.594002
10.0,1,64.596302
10.0,1,64.598438
10.0,1,64.599061
10.0,1,64.603065
10.0,1,64.603592
10.0,1,64.604053
10.0,1,64.604509
10.0,1,64.608257
10.0,1,64.608824
10.0,1,64.609288
10.0,1,64.60974
10.0,1,64.61644
10.0,1,64.616987
10.0,1,64.617449
10.0,1,64.618064
10.0,1,64.621555
10.0,1,64.622211
10.0,1,64.623881
10.0,1,64.624401
10.0,1,64.627205
10.0,1,64.628168
10.0,1,64.632058
10.0,1,64.633205
10.0,1,64.636657
10.0,1,64.637447
10.0,1,64.638019
10.0,1,64.63857
10.0,1,64.642994
10.0,1,64.643601
10.0,1,64.64415
10.0,1,64.64506
10.0,1,64.653136
10.0,1,64.653663
10.0,1,64.654583
10.0,1,64.65513
10.0,1,64.6579
10.0,1,64.658417
10.0,1,64.659789
10.0,1,64.660272
10.0,1,64.667653
10.0,1,64.668496
10.0,1,64.669207
10.0,1,64.66991
10.0,1,64.673258
10.0,1,64.673786
10.0,1,64.674253
10.0,1,64.674711
10.0,1,64.683158
10.0,1,64.683953
10.0,1,64.684621
10.0,1,64.685261
10.0,1,64.689068
10.0,1,64.689854
10.0,1,64.69054
10.0,1,64.691123
10.0,1,64.69385
10.0,1,64.694477
10.0,1,64.699546
10.0,1,64.700322
10.0,1,64.703744
10.0,1,64.704754
10.0,1,64.705279
10.0,1,64.705904
10.0,1,64.70854
10.0,1,64.709048
10.0,1,64.709523
10.0,1,64.709986
10.0,1,64.717692
10.0,1,64.718999
10.0,1,64.719716
10.0,1,64.720403
10.0,1,64.723976
10.0,1,64.725005
10.0,1,64.725739
10.0,1,64.72633
10.0,1,64.733397
10.0,1,64.734042
10.0,1,64.73578
10.0,1,64.73636
10.0,1,64.741155
10.0,1,64.742007
10.0,1,64.742573
10.0,1,64.743126
10.0,1,64.752764
10.0,1,64.753308
10.0,1,64.753768
10.0,1,64.754226
10.0,1,64.75801
10.0,1,64.758528
10.0,1,64.75899
10.0,1,64.759444
10.0,1,64.765919
10.0,1,64.766491
10.0,1,64.766962
10.0,1,64.767426
10.0,1,64.771351
10.0,1,64.77217
10.0,1,64.774087
10.0,1,64.774688
10.0,1,64.778282
10.0,1,64.781319
10.0,1,64.7825
10.0,1,64.783076
10.0,1,64.786019
10.0,1,64.786634
10.0,1,64.787185
10.0,1,64.788052
10.0,1,64.792581
10.0,1,64.793193
10.0,1,64.79374
10.0,1,64.794279
10.0,1,64.802097
10.0,1,64.802954
10.0,1,64.803514
10.0,1,64.803989
10.0,1,64.806768
10.0,1,64.807284
10.0,1,64.808684
10.0,1,64.809176
10.0,1,64.815732
10.0,1,64.816517
10.0,1,64.817062
10.0,1,64.817537
10.0,1,64.821732
10.0,1,64.822454
10.0,1,64.822952
10.0,1,64.823417
10.0,1,64.827661
10.0,1,64.831563
10.0,1,64.832739
10.0,1,64.833335
10.0,1,64.836232
10.0,1,64.836759
10.0,1,64.837229
10.0,1,64.838114
10.0,1,64.841715
10.0,1,64.842481
10.0,1,64.844673
10.0,1,64.847649
10.0,1,64.85289
10.0,1,64.85342
10.0,1,64.853886
10.0,1,64.854341
10.0,1,64.857402
10.0,1,64.857924
10.0,1,64.858387
10.0,1,64.858844
10.0,1,64.866618
10.0,1,64.867302
10.0,1,64.867821
10.0,1,64.86838
10.0,1,64.871678
10.0,1,64.872614
10.0,1,64.873117
10.0,1,64.873578
10.0,1,64.8763
10.0,1,64.876812
10.0,1,64.881059
10.0,1,64.882348
10.0,1,64.886816
10.0,1,64.887472
10.0,1,64.888025
10.0,1,64.888626
10.0,1,64.892903
10.0,1,64.893686
10.0,1,64.894703
10.0,1,64.89759
10.0,1,64.902588
10.0,1,64.903127
10.0,1,64.903591
10.0,1,64.904045
10.0,1,64.907417
10.0,1,64.907947
10.0,1,64.90841
10.0,1,64.908864
10.0,1,64.916594
10.0,1,64.917186
10.0,1,64.918859
10.0,1,64.919463
10.0,1,64.923364
10.0,1,64.924347
10.0,1,64.924935
10.0,1,64.925408
10.0,1,64.932078
10.0,1,64.932981
10.0,1,64.933571
10.0,1,64.934081
10.0,1,64.938379
10.0,1,64.939098
10.0,1,64.939675
10.0,1,64.940885
10.0,1,64.948413
10.0,1,64.949657
10.0,1,64.950446
10.0,1,64.951172
10.0,1,64.953991
10.0,1,64.954501
10.0,1,64.956136
10.0,1,64.956635
10.0,1,64.959394
10.0,1,64.959902
10.0,1,64.960365
10.0,1,64.960819
10.0,1,64.96738
10.0,1,64.967928
10.0,1,64.96897
10.0,1,64.969721
10.0,1,64.974449
10.0,1,64.975219
10.0,1,64.975931
10.0,1,64.976627
10.0,1,64.98535
10.0,1,64.985986
10.0,1,64.986536
10.0,1,64.987057
10.0,1,64.99008
10.0,1,64.990615
10.0,1,64.992095
10.0,1,64.992595
10.0,1,64.999004
10.0,1,64.999744
10.0,1,65.000358
10.0,1,65.001073
10.0,1,65.004472
10.0,1,65.005021
10.0,1,65.005561
10.0,1,65.00603
10.0,1,65.009622
10.0,1,65.010137
10.0,1,65.0106
10.0,1,65.011171
10.0,1,65.01812
10.0,1,65.018664
10.0,1,65.019131
10.0,1,65.019764
10.0,1,65.023402
10.0,1,65.023922
10.0,1,65.025449
10.0,1,65.026203
10.0,1,65.034219
10.0,1,65.034767
10.0,1,65.035235
10.0,1,65.035693
10.0,1,65.039148
10.0,1,65.039892
10.0,1,65.04052
10.0,1,65.040998
10.0,1,65.04953
10.0,1,65.050241
10.0,1,65.050835
10.0,1,65.051379
10.0,1,65.054312
10.0,1,65.055352
10.0,1,65.055952
10.0,1,65.056435
10.0,1,65.059039
10.0,1,65.059538
10.0,1,65.061138
10.0,1,65.064044
10.0,1,65.069202
10.0,1,65.069751
10.0,1,65.070218
10.0,1,65.070675
10.0,1,65.07451
10.0,1,65.075215
10.0,1,65.075713
10.0,1,65.076178
10.0,1,65.084836
10.0,1,65.085385
10.0,1,65.085848
10.0,1,65.086304
10.0,1,65.089578
10.0,1,65.090109
10.0,1,65.090576
10.0,1,65.091039
10.0,1,65.093721
10.0,1,65.094245
10.0,1,65.100698
10.0,1,65.101397
10.0,1,65.104651
10.0,1,65.105273
10.0,1,65.105907
10.0,1,65.106433
10.0,1,65.109084
10.0,1,65.109586
10.0,1,65.109812
10.0,1,65.11027
10.0,1,65.119875
10.0,1,65.120669
10.0,1,65.121378
10.0,1,65.122223
10.0,1,65.125388
10.0,1,65.125917
10.0,1,65.126449
10.0,1,65.126986
10.0,1,65.134267
10.0,1,65.134805
10.0,1,65.136342
10.0,1,65.136928
10.0,1,65.140055
10.0,1,65.140572
10.0,1,65.141036
10.0,1,65.141492
10.0,1,65.149552
10.0,1,65.150255
10.0,1,65.150831
10.0,1,65.151376
10.0,1,65.155182
10.0,1,65.155788
10.0,1,65.156267
10.0,1,65.156724
10.0,1,65.160126
10.0,1,65.16065
10.0,1,65.161418
10.0,1,65.165065
10.0,1,65.169463
10.0,1,65.170253
10.0,1,65.172084
10.0,1,65.172641
10.0,1,65.17631
10.0,1,65.176647
10.0,1,65.178274
10.0,1,65.181187
10.0,1,65.186666
10.0,1,65.187475
10.0,1,65.188014
10.0,1,65.18879
10.0,1,65.193999
10.0,1,65.19735
10.0,1,65.198797
10.0,1,65.199935
10.0,1,65.204741
10.0,1,65.205344
10.0,1,65.206032
10.0,1,65.206541
10.0,1,65.209174
10.0,1,65.209718
10.0,1,65.211431
10.0,1,65.214062
10.0,1,65.218975
10.0,1,65.219744
10.0,1,65.220349
10.0,1,65.220906
10.0,1,65.224522
10.0,1,65.225049
10.0,1,65.225518
10.0,1,65.225976
10.0,1,65.235328
10.0,1,65.235872
10.0,1,65.236563
10.0,1,65.237268
10.0,1,65.240769
10.0,1,65.241294
10.0,1,65.241753
10.0,1,65.242207
10.0,1,65.247962
10.0,1,65.249246
10.0,1,65.25122
10.0,1,65.251954
10.0,1,65.254734
10.0,1,65.255247
10.0,1,65.255758
10.0,1,65.256222
10.0,1,65.259466
10.0,1,65.259986
10.0,1,65.260445
10.0,1,65.260902
10.0,1,65.268532
10.0,1,65.269073
10.0,1,65.269543
10.0,1,65.270441
10.0,1,65.27383
